,blockNumber,timeStamp,blockReward
69,9526342,2020-02-21 11:36:13,2129990350433138222
70,9525610,2020-02-21 08:53:14,2040095535897249887
71,9525509,2020-02-21 08:31:21,2015942109242811497
72,9525263,2020-02-21 07:34:02,2002072725000000000
73,9525185,2020-02-21 07:12:10,2124134982337516001
74,9525080,2020-02-21 06:46:28,2006290735344875402
75,9524815,2020-02-21 05:49:57,2031330434664760022
76,9524795,2020-02-21 05:44:06,2102138652028912507
77,9524769,2020-02-21 05:38:21,2121383434043371452
78,9524682,2020-02-21 05:20:35,2057697204314932501
79,9524412,2020-02-21 04:13:36,2020348068399847559
80,9524383,2020-02-21 04:05:49,2152271770166848295
81,9523874,2020-02-21 02:15:27,2030614214376935760
82,9523862,2020-02-21 02:12:59,2002766974000000000
83,9523730,2020-02-21 01:42:11,2080322715654657737
84,9523650,2020-02-21 01:24:30,2022182217380000000
85,9523570,2020-02-21 01:04:32,2046800633157340035
86,9523549,2020-02-21 00:59:38,2018854338900000000
87,9522493,2020-02-20 21:15:25,2025609954107863423
88,9522451,2020-02-20 21:06:47,2106263068997604562
89,9522330,2020-02-20 20:39:36,2011980181288039405
90,9521805,2020-02-20 18:42:07,2043990544057013166
91,9521506,2020-02-20 17:38:58,2079734695492183331
92,9521481,2020-02-20 17:34:29,2075313609560787675
93,9521371,2020-02-20 17:09:21,2075614960389863785
94,9521054,2020-02-20 15:58:37,2017809988390000000
95,9520874,2020-02-20 15:20:09,2059634341847347064
96,9520819,2020-02-20 15:10:13,2079004057852018130
97,9520798,2020-02-20 15:05:45,2005874500000000000
98,9520382,2020-02-20 13:32:27,2110373650602403226
99,9519971,2020-02-20 11:58:32,2097915084354326702
100,9519649,2020-02-20 10:42:08,2144738839161473901
101,9519516,2020-02-20 10:17:52,2086951492331822788
102,9519206,2020-02-20 09:07:41,2114711803840309000
103,9519127,2020-02-20 08:48:23,2060782694571726908
104,9519023,2020-02-20 08:23:29,2086316791231330472
105,9518795,2020-02-20 07:30:09,2090626661272010000
106,9518226,2020-02-20 05:25:14,2077197320882347156
107,9518143,2020-02-20 05:02:57,2071169500513091765
108,9518055,2020-02-20 04:43:36,2161297800194016840
109,9517283,2020-02-20 01:49:52,2002281450000000000
110,9517107,2020-02-20 01:13:21,2147185435608184308
111,9516945,2020-02-20 00:36:29,2021865280834259433
112,9516913,2020-02-20 00:27:38,2148618222351109853
113,9516622,2020-02-19 23:24:36,2008600930016560000
114,9516414,2020-02-19 22:41:21,2039259419367486459
115,9516303,2020-02-19 22:16:52,2311600183281134227
116,9515926,2020-02-19 20:51:09,2092663958629642856
117,9515719,2020-02-19 20:05:42,2119539261696892199
118,9515239,2020-02-19 18:15:54,2150937146113776306
119,9515174,2020-02-19 18:01:18,2129179291460513511
120,9515138,2020-02-19 17:54:02,2062929717189026000
121,9514956,2020-02-19 17:18:39,2079690819085857000
122,9514788,2020-02-19 16:39:20,2037166436376026562
123,9514648,2020-02-19 16:10:38,2003968139009837959
124,9514458,2020-02-19 15:28:16,2008718542100000000
125,9514332,2020-02-19 15:03:00,2035931385736457582
126,9514107,2020-02-19 14:14:12,2106012781405059283
127,9513965,2020-02-19 13:41:28,2170867212187230000
128,9513311,2020-02-19 11:14:25,2190007982404850726
129,9512033,2020-02-19 06:27:02,2000000000000000000
130,9511785,2020-02-19 05:34:23,2017251381819018998
131,9511727,2020-02-19 05:20:38,2032356433794448000
132,9511113,2020-02-19 03:07:09,2037089534310332832
133,9510919,2020-02-19 02:27:10,2030166566276032982
134,9510874,2020-02-19 02:19:34,2077175865903523334
135,9510000,2020-02-18 23:12:22,2069898989730274678
136,9509988,2020-02-18 23:09:01,2268262139874597282
137,9509930,2020-02-18 22:54:48,2084948383676463022
138,9509704,2020-02-18 22:01:04,2099593524349895465
139,9509594,2020-02-18 21:37:54,2015839313730141404
140,9509567,2020-02-18 21:31:18,2103242851971127610
141,9509563,2020-02-18 21:30:35,2035981717538310371
142,9509327,2020-02-18 20:37:07,2038643783017718478
143,9509255,2020-02-18 20:22:10,2016675619004238201
144,9509003,2020-02-18 19:24:16,2142912860075772651
145,9508688,2020-02-18 18:14:11,2084194658435039606
146,9508562,2020-02-18 17:47:37,2038347040781478302
147,9508483,2020-02-18 17:29:32,2054077634518059850
148,9508364,2020-02-18 17:07:50,2046914232142636942
149,9508286,2020-02-18 16:50:38,2036095069420000000
150,9508248,2020-02-18 16:43:13,3240791746150372230
151,9507702,2020-02-18 14:34:07,2130403755959546760
152,9507568,2020-02-18 14:06:47,2164680903490503011
153,9507442,2020-02-18 13:39:00,2016732709146020838
154,9507213,2020-02-18 12:48:34,2095419331472776296
155,9506898,2020-02-18 11:41:09,2025090115445418787
156,9506694,2020-02-18 10:59:35,2049622334138448596
157,9506197,2020-02-18 09:05:31,2151276346590773951
158,9506175,2020-02-18 09:02:07,2065114077188622643
159,9506079,2020-02-18 08:43:21,2142382969638385888
160,9505737,2020-02-18 07:25:20,2130013944451259391
161,9505213,2020-02-18 05:19:23,2041239384674416604
162,9504816,2020-02-18 03:57:23,2076699693922210635
163,9504656,2020-02-18 03:21:25,2125436769243360195
164,9504018,2020-02-18 01:03:11,2188513530441636533
165,9503913,2020-02-18 00:40:30,2014616038326458285
166,9503590,2020-02-17 23:28:00,2021688460602600000
167,9503403,2020-02-17 22:48:53,2006215442000000000
168,9503228,2020-02-17 22:04:59,2101024312737686403
169,9503157,2020-02-17 21:50:57,2013136716940000000
170,9503032,2020-02-17 21:18:58,2089305012102159038
171,9502760,2020-02-17 20:23:28,2024948095193104056
172,9502751,2020-02-17 20:21:06,2021439688969213692
173,9502706,2020-02-17 20:13:07,2053315032885462000
174,9502509,2020-02-17 19:27:52,2044831791763916052
175,9502342,2020-02-17 18:56:16,2009290993512926000
176,9502284,2020-02-17 18:45:36,2013630152431852000
177,9501733,2020-02-17 16:44:05,2051614159019222952
178,9501471,2020-02-17 15:46:10,2092811765866143139
179,9501420,2020-02-17 15:34:30,2213782852186029297
180,9501326,2020-02-17 15:11:35,2089741619664688823
181,9501026,2020-02-17 13:57:43,2118809328105355000
182,9500281,2020-02-17 11:11:31,2086305104867578333
183,9499775,2020-02-17 09:18:17,2004085485000000000
184,9499683,2020-02-17 08:58:15,2201243951807627710
185,9499467,2020-02-17 08:06:14,2032072427085415015
186,9499328,2020-02-17 07:36:36,2084203171980146232
187,9498993,2020-02-17 06:23:53,2081700573661111617
188,9498813,2020-02-17 05:41:11,2070977204846544976
189,9498775,2020-02-17 05:34:50,2035564036737988490
190,9498394,2020-02-17 04:08:37,2151448386209681532
191,9498059,2020-02-17 02:50:07,2097735811824665827
192,9497904,2020-02-17 02:15:14,2038438701837963048
193,9497619,2020-02-17 01:14:47,2129208665858216739
194,9497496,2020-02-17 00:47:35,2012971664400000000
195,9497473,2020-02-17 00:42:48,2115447301223479180
196,9497419,2020-02-17 00:31:29,2101421489740012721
197,9497202,2020-02-16 23:38:42,2204775546334443306
198,9496895,2020-02-16 22:29:45,2044047145500059800
199,9496849,2020-02-16 22:20:51,2006887869909984000
200,9496596,2020-02-16 21:29:01,2073569529065882150
201,9495434,2020-02-16 17:06:22,2184447626510775224
202,9495404,2020-02-16 17:00:22,11114802484902239733
203,9494856,2020-02-16 15:04:33,2086909253466720136
204,9494224,2020-02-16 12:45:08,2183901836625839116
205,9493907,2020-02-16 11:39:53,2039030473798618844
206,9493893,2020-02-16 11:37:12,2065409015188400411
207,9493779,2020-02-16 11:13:18,2142530863512873811
208,9493771,2020-02-16 11:10:26,2102262732008900000
209,9493615,2020-02-16 10:32:48,2001680000000000000
210,9493460,2020-02-16 09:58:40,2061184936589678484
211,9493393,2020-02-16 09:45:37,2036427465679215817
212,9493328,2020-02-16 09:33:09,2097874203692125572
213,9493303,2020-02-16 09:26:37,2080192681749011140
214,9492810,2020-02-16 07:44:05,2179027097939670332
215,9492594,2020-02-16 06:58:35,2000000000000000000
216,9492517,2020-02-16 06:41:44,2025859660202170385
217,9492372,2020-02-16 06:08:32,2135159537738363749
218,9492320,2020-02-16 05:58:11,2058956282232000211
219,9492242,2020-02-16 05:41:33,2080843854381538445
220,9492072,2020-02-16 05:05:02,2011448684240438818
221,9491621,2020-02-16 03:24:38,2035807707860417759
222,9491558,2020-02-16 03:09:32,2135744607777247615
223,9491551,2020-02-16 03:07:50,2351310505794029199
224,9491444,2020-02-16 02:40:51,2053704775025895412
225,9490781,2020-02-16 00:12:45,2871633718768005026
226,9490284,2020-02-15 22:14:18,2079346998354356377
227,9490176,2020-02-15 21:49:40,2063448178581373251
228,9490111,2020-02-15 21:34:55,2011960403223261804
229,9490074,2020-02-15 21:27:41,2020622159127390000
230,9489867,2020-02-15 20:45:02,2018987548128500000
231,9489835,2020-02-15 20:39:30,2131203223491015324
232,9489410,2020-02-15 19:00:51,2168979880026707321
233,9489307,2020-02-15 18:36:03,2105484130521378705
234,9489303,2020-02-15 18:35:55,2121292762791217507
235,9489273,2020-02-15 18:28:24,2081870848707916037
236,9489130,2020-02-15 17:57:00,2008547756235200000
237,9488979,2020-02-15 17:19:52,2210410996773056276
238,9488946,2020-02-15 17:13:06,2131688767581431900
239,9488847,2020-02-15 16:49:19,2207652955187877090
240,9488835,2020-02-15 16:47:13,2159843167828783692
241,9488699,2020-02-15 16:16:28,2097850930674315884
242,9488617,2020-02-15 16:01:15,2087921237013936663
243,9488582,2020-02-15 15:54:50,2164707844405142665
244,9488353,2020-02-15 15:01:14,2062995116196666560
245,9488106,2020-02-15 14:06:03,2047916767531344064
246,9487813,2020-02-15 13:02:00,2006300000000000000
247,9487763,2020-02-15 12:52:50,2000000000000000000
248,9487718,2020-02-15 12:41:55,2021374263407860528
249,9487664,2020-02-15 12:29:18,2033678542055420948
250,9487528,2020-02-15 11:59:27,2056056171520077974
251,9487166,2020-02-15 10:37:53,2210265528586772889
252,9486686,2020-02-15 08:57:56,2043964804039414077
253,9486665,2020-02-15 08:52:59,2010017314061826594
254,9486330,2020-02-15 07:40:14,2115741832638493343
255,9486293,2020-02-15 07:29:48,2117498603210193165
256,9486053,2020-02-15 06:41:11,2004341782400000000
257,9485500,2020-02-15 04:44:44,2046286871464468452
258,9485428,2020-02-15 04:30:24,2033859680275893102
259,9485352,2020-02-15 04:12:24,2038887968397179744
260,9485166,2020-02-15 03:31:19,2043707881517790681
261,9484469,2020-02-15 00:41:38,2023656714825000000
262,9484390,2020-02-15 00:25:32,2051752366791900000
263,9484225,2020-02-14 23:50:37,2064562987743349418
264,9484168,2020-02-14 23:38:09,2059365875099808505
265,9484079,2020-02-14 23:16:24,2006424237000000000
266,9483935,2020-02-14 22:43:58,2044821691386688000
267,9483909,2020-02-14 22:39:33,2106055896997236980
268,9483085,2020-02-14 19:37:24,2062235191784055586
269,9482924,2020-02-14 19:04:09,2040985140682807551
270,9482815,2020-02-14 18:41:09,2125868690396703813
271,9482770,2020-02-14 18:32:08,2083343080971477785
272,9482661,2020-02-14 18:07:16,2135595386268081605
273,9482393,2020-02-14 17:05:09,2062065857015743032
274,9482371,2020-02-14 17:00:19,2126068272171420000
275,9482334,2020-02-14 16:50:20,2107830679358331255
276,9482258,2020-02-14 16:33:11,2105348022975582940
277,9482091,2020-02-14 15:59:47,2108913313324563756
278,9481956,2020-02-14 15:29:56,2266917335299067147
279,9481654,2020-02-14 14:26:45,2137853764163698642
280,9481603,2020-02-14 14:16:28,2160190051971162681
281,9481512,2020-02-14 13:58:49,2073377643030517448
282,9481241,2020-02-14 12:54:49,2122099964387012475
283,9481026,2020-02-14 12:07:11,2266743340448901802
284,9480767,2020-02-14 11:05:43,2188908359134388716
285,9480745,2020-02-14 11:01:20,2135451805433755532
286,9480687,2020-02-14 10:45:11,2056233014398225420
287,9480500,2020-02-14 10:06:51,2103099392994246684
288,9480448,2020-02-14 09:56:19,2006132383000000000
289,9480308,2020-02-14 09:22:04,2170529038962137742
290,9480298,2020-02-14 09:19:39,2109440364720053420
291,9480137,2020-02-14 08:40:13,2016007572120000000
292,9480123,2020-02-14 08:37:51,2044397038113319032
293,9479521,2020-02-14 06:20:29,2041907080174836693
294,9479345,2020-02-14 05:41:52,2025337088812194000
295,9479271,2020-02-14 05:28:44,2059779268020761164
296,9479109,2020-02-14 04:54:27,2075193778940703399
297,9479056,2020-02-14 04:41:31,2104895739141525035
298,9478779,2020-02-14 03:38:04,2101558025030430949
299,9478765,2020-02-14 03:35:54,2130444589727695875
300,9478703,2020-02-14 03:24:04,2043009882126066825
301,9478593,2020-02-14 02:57:33,2054062507355589142
302,9478563,2020-02-14 02:48:22,2144942465121149126
303,9478462,2020-02-14 02:25:29,2056810847795779710
304,9478423,2020-02-14 02:18:00,2021426443750000000
305,9478317,2020-02-14 01:56:09,2043636174408306213
306,9478157,2020-02-14 01:21:48,2136987199048663493
307,9477963,2020-02-14 00:38:43,2016061109616549922
308,9477759,2020-02-13 23:55:17,2065821999848266354
309,9477695,2020-02-13 23:41:13,2020218198260114514
310,9477663,2020-02-13 23:36:14,2101332830808181368
311,9477635,2020-02-13 23:29:18,2053087975538256070
312,9477616,2020-02-13 23:26:41,2049383545926198995
313,9477546,2020-02-13 23:11:16,2054243045627446844
314,9477423,2020-02-13 22:43:51,2066015286442594616
315,9477398,2020-02-13 22:37:11,2093070469874798220
316,9477389,2020-02-13 22:35:24,2073925358779279166
317,9477373,2020-02-13 22:31:32,2062728411768499992
318,9477285,2020-02-13 22:07:40,2016785008575320622
319,9477234,2020-02-13 21:56:32,2053296806558439663
320,9477179,2020-02-13 21:43:11,2029429002224344297
321,9476903,2020-02-13 20:42:52,2022746191799932558
322,9476895,2020-02-13 20:40:38,2026093434462771781
323,9476871,2020-02-13 20:35:39,2081009503431872208
324,9476826,2020-02-13 20:26:41,2045773475126849028
325,9476799,2020-02-13 20:21:17,2091521803705292373
326,9476736,2020-02-13 20:06:17,2068322710835673715
327,9476713,2020-02-13 20:02:27,2045620869450341973
328,9476428,2020-02-13 18:56:00,2031339700730141404
329,9476392,2020-02-13 18:47:42,2020277771900141404
330,9476346,2020-02-13 18:40:20,2024774426934980468
331,9476307,2020-02-13 18:31:56,2059192541643333841
332,9476274,2020-02-13 18:25:11,2109138228377404856
333,9476265,2020-02-13 18:23:45,2084660964129295512
334,9476084,2020-02-13 17:38:51,2063916058654000000
335,9475892,2020-02-13 16:57:27,2124405486000993809
336,9475800,2020-02-13 16:36:20,2075055351137751360
337,9475793,2020-02-13 16:35:09,2011986956993898000
338,9475263,2020-02-13 14:33:48,2048124394430848340
339,9475094,2020-02-13 14:01:18,2000000000000000000
340,9474643,2020-02-13 12:27:14,2050619394993338926
341,9474261,2020-02-13 10:59:01,2089195678209592288
342,9474141,2020-02-13 10:29:48,2187935620692835085
343,9474038,2020-02-13 10:05:50,2253851430139749497
344,9473619,2020-02-13 08:34:31,2006026061000000000
345,9473525,2020-02-13 08:15:11,2179383157320462988
346,9473328,2020-02-13 07:35:14,2037812030961844340
347,9473269,2020-02-13 07:22:35,2107987340052527512
348,9473236,2020-02-13 07:14:57,2152975737916882679
349,9473045,2020-02-13 06:30:19,2082885932563244647
350,9472988,2020-02-13 06:16:09,2038979374508173347
351,9472365,2020-02-13 04:01:35,2003662815000000000
352,9472313,2020-02-13 03:51:37,2167302959426646881
353,9472298,2020-02-13 03:46:10,2108763327398464690
354,9472277,2020-02-13 03:40:32,2079397197837556100
355,9472245,2020-02-13 03:34:36,2205680411854853401
356,9472136,2020-02-13 03:13:48,2070797097116926558
357,9472090,2020-02-13 03:03:33,2094182664777100443
358,9472084,2020-02-13 03:01:43,2213705764586502847
359,9472012,2020-02-13 02:44:24,2126163581534871312
360,9471547,2020-02-13 01:00:40,2154400249351002496
361,9471382,2020-02-13 00:19:42,2064910033631769290
362,9471296,2020-02-12 23:59:44,2307392411569450000
363,9471270,2020-02-12 23:52:46,2132392891603454778
364,9470415,2020-02-12 20:44:13,2084781606978305505
365,9470300,2020-02-12 20:21:23,2037629166330000000
366,9470156,2020-02-12 19:46:48,2033671161837218000
367,9470091,2020-02-12 19:34:35,2046376741093002077
368,9470040,2020-02-12 19:23:14,2139611452552904540
369,9469931,2020-02-12 18:57:17,2105992436512287955
370,9469840,2020-02-12 18:38:13,2023675085144287360
371,9469744,2020-02-12 18:18:52,2117592690471568139
372,9469656,2020-02-12 18:00:50,2123841736315846860
373,9469418,2020-02-12 17:06:16,2148985432225171348
374,9469402,2020-02-12 17:02:43,2092309984646977945
375,9469390,2020-02-12 17:00:03,2184785661482462669
376,9469352,2020-02-12 16:52:51,2088726400256674324
377,9469351,2020-02-12 16:52:30,2129255953769066332
378,9469261,2020-02-12 16:34:04,2105157822009100479
379,9469236,2020-02-12 16:28:47,2188723715941188063
380,9469168,2020-02-12 16:14:10,2006323005000000000
381,9469047,2020-02-12 15:51:10,2267288617494380825
382,9468965,2020-02-12 15:32:30,2121149341815188694
383,9468818,2020-02-12 14:57:38,2133653817418301533
384,9468655,2020-02-12 14:21:51,2004114389000000000
385,9468467,2020-02-12 13:40:19,2104341285538254012
386,9468464,2020-02-12 13:39:51,2075482832297063842
387,9468304,2020-02-12 13:03:51,2153448699743153336
388,9468275,2020-02-12 12:58:25,2069820871335823371
389,9468179,2020-02-12 12:40:56,2072357241658078184
390,9468041,2020-02-12 12:07:41,2155117581824152450
391,9467749,2020-02-12 10:59:19,2092100097703956618
392,9467703,2020-02-12 10:47:03,2309326691265135580
393,9467633,2020-02-12 10:31:30,2066142686012398163
394,9467566,2020-02-12 10:15:59,2138237449891782571
395,9467529,2020-02-12 10:06:50,2123286265651834796
396,9467456,2020-02-12 09:50:41,2062160891107442874
397,9467440,2020-02-12 09:46:52,2089782329927715646
398,9467434,2020-02-12 09:45:49,2061022251943430378
399,9467373,2020-02-12 09:32:02,2084069626169000000
400,9467003,2020-02-12 08:05:02,2071855799769877143
401,9466950,2020-02-12 07:54:51,2209003559099461364
402,9466848,2020-02-12 07:31:07,2004809000000000000
403,9466813,2020-02-12 07:25:05,2166366587062051454
404,9466681,2020-02-12 06:58:43,2201726673841757780
405,9466535,2020-02-12 06:22:42,2084804731299514628
406,9466525,2020-02-12 06:20:38,2203738543935047820
407,9466431,2020-02-12 06:00:46,2049551400863102062
408,9466239,2020-02-12 05:14:33,2034586386505962266
409,9466119,2020-02-12 04:48:37,2022563302993828860
410,9465975,2020-02-12 04:16:35,2026164896877800000
411,9465898,2020-02-12 03:57:56,2005039335000000000
412,9465617,2020-02-12 02:51:20,2121049175271188812
413,9465577,2020-02-12 02:42:28,2066259910552955671
414,9465358,2020-02-12 01:54:58,2010028546648992935
415,9465331,2020-02-12 01:48:29,2052879096554812610
416,9465292,2020-02-12 01:38:53,2083613595125223546
417,9465257,2020-02-12 01:30:58,2154462229469953810
418,9465148,2020-02-12 01:06:28,2002793000000000000
419,9465021,2020-02-12 00:39:16,2009375551000000000
420,9464984,2020-02-12 00:33:39,2029146488273033964
421,9464760,2020-02-11 23:45:12,2095770719420219215
422,9464744,2020-02-11 23:43:10,2025282488681570736
423,9464378,2020-02-11 22:18:09,2000504000000000000
424,9464273,2020-02-11 21:56:30,2010172779420382697
425,9463991,2020-02-11 20:57:39,2036878584792697720
426,9463957,2020-02-11 20:50:38,2009822857046748592
427,9463865,2020-02-11 20:28:27,2029409955905318476
428,9463760,2020-02-11 20:06:27,2053019394823899300
429,9463716,2020-02-11 19:55:51,2083700524254074992
430,9463530,2020-02-11 19:17:14,2002324315000000000
431,9463426,2020-02-11 18:53:08,2087032433354100939
432,9463420,2020-02-11 18:50:54,2024026720104226496
433,9463376,2020-02-11 18:41:04,2093378258011241047
434,9463258,2020-02-11 18:13:52,2121115761876570234
435,9463215,2020-02-11 18:04:29,2340676012353603264
436,9463210,2020-02-11 18:03:58,2055893272487836289
437,9463069,2020-02-11 17:32:57,2216384410667078132
438,9463018,2020-02-11 17:21:20,2181038845939156000
439,9462849,2020-02-11 16:39:39,2150230061030715788
440,9462834,2020-02-11 16:37:33,2071436090944368420
441,9462696,2020-02-11 16:09:18,2073242671504538234
442,9462681,2020-02-11 16:06:17,2157323678379902502
443,9462677,2020-02-11 16:05:26,2152022514342152458
444,9462629,2020-02-11 15:56:14,2072108085689349434
445,9462570,2020-02-11 15:45:46,2072877932050190645
446,9462425,2020-02-11 15:14:24,2001480920000000000
447,9462424,2020-02-11 15:14:17,2035584214755093000
448,9462386,2020-02-11 15:05:33,2109310779486684900
449,9462260,2020-02-11 14:38:42,2058209719329899715
450,9462227,2020-02-11 14:30:12,2158628071066584800
451,9462164,2020-02-11 14:16:07,2173669654461278385
452,9462153,2020-02-11 14:13:06,2399442687000000000
453,9462128,2020-02-11 14:09:33,2064318666466293000
454,9461817,2020-02-11 13:00:50,2155435660539286000
455,9461642,2020-02-11 12:21:47,2217572356530796873
456,9461448,2020-02-11 11:37:41,2125780998418640646
457,9461214,2020-02-11 10:46:43,2124319208744696493
458,9461148,2020-02-11 10:32:50,2043928220555977000
459,9461142,2020-02-11 10:31:46,2074854683783268857
460,9461064,2020-02-11 10:14:07,2020767616135800000
461,9460826,2020-02-11 09:21:44,2141518931479692941
462,9460763,2020-02-11 09:05:59,2076316122490161000
463,9460636,2020-02-11 08:38:36,2039201391515813562
464,9460603,2020-02-11 08:31:41,2175748589101926689
465,9460462,2020-02-11 08:00:22,2138069086060000000
466,9460410,2020-02-11 07:46:57,2103085252575851871
467,9460388,2020-02-11 07:41:41,2155945401940780559
468,9460350,2020-02-11 07:32:27,2136099525633537103
469,9460340,2020-02-11 07:29:45,2080567427900283944
470,9460335,2020-02-11 07:28:42,2002136783048800000
471,9460322,2020-02-11 07:25:53,2132363170700595896
472,9460268,2020-02-11 07:17:08,2030524660621513536
473,9460006,2020-02-11 06:20:06,2143702017990461953
474,9459994,2020-02-11 06:16:41,2020081258582084000
475,9459925,2020-02-11 06:01:23,2120095493902940617
476,9459741,2020-02-11 05:22:32,2004122691400000000
477,9459716,2020-02-11 05:16:16,2020671881550000000
478,9459447,2020-02-11 04:16:54,2013190712444918200
479,9459435,2020-02-11 04:14:25,2126623873307975132
480,9459362,2020-02-11 03:57:57,2023565819293096697
481,9459230,2020-02-11 03:29:48,2018294564648800000
482,9459226,2020-02-11 03:29:10,2040738291059876709
483,9458888,2020-02-11 02:08:27,2167260009289274243
484,9458735,2020-02-11 01:38:26,2131904599429153269
485,9458555,2020-02-11 00:56:46,2053730386395673074
486,9458511,2020-02-11 00:47:01,2089822453749756799
487,9458416,2020-02-11 00:27:07,2072124089584117116
488,9458383,2020-02-11 00:20:38,2101524580090608901
489,9458273,2020-02-10 23:54:12,2019686591171118056
490,9458250,2020-02-10 23:48:12,2027220410025887000
491,9458217,2020-02-10 23:39:02,2017231003597336228
492,9458143,2020-02-10 23:22:25,2021774013299932558
493,9458107,2020-02-10 23:15:19,2015847453539932558
494,9458082,2020-02-10 23:10:42,2079495247412209268
495,9458011,2020-02-10 22:56:53,2019500054007151770
496,9457749,2020-02-10 22:00:57,2047539161532135821
497,9457111,2020-02-10 19:41:54,2003741801000000000
498,9457088,2020-02-10 19:36:55,2017806507548474268
499,9456992,2020-02-10 19:15:38,2010852006530479402
500,9456926,2020-02-10 18:57:36,2008129543443837134
501,9456896,2020-02-10 18:52:20,2024880588767295784
502,9456831,2020-02-10 18:38:55,2070199544843719889
503,9456805,2020-02-10 18:30:42,2035533630506094268
504,9456759,2020-02-10 18:18:53,2010165886200000000
505,9456464,2020-02-10 17:22:38,2040003855259047102
506,9456386,2020-02-10 17:07:07,2056871917833524460
507,9456270,2020-02-10 16:41:47,2015410872200000000
508,9456259,2020-02-10 16:39:07,2180632586265460024
509,9455897,2020-02-10 15:23:46,2079200109629304578
510,9455846,2020-02-10 15:09:10,2186683905431912961
511,9455731,2020-02-10 14:45:05,2033934625659312738
512,9455728,2020-02-10 14:44:51,2021749375465444871
513,9455602,2020-02-10 14:16:22,2086465966899899260
514,9455549,2020-02-10 14:03:57,2121120128253268184
515,9455466,2020-02-10 13:47:55,2136216087921058200
516,9455452,2020-02-10 13:45:16,2031360604096864397
